cod_comuna,nom_comuna
0,Sin Informacion
1101,Iquique
1107,Alto Hospicio
1401,Pozo Almonte
2101,Antofagasta
2201,Calama
2301,Tocopilla
3101,Copiapó
3102,Caldera
3103,Tierra Amarilla
3201,Chañaral
3202,Diego De Almagro
3301,Vallenar
3303,Freirina
3304,Huasco
4102,Coquimbo
4202,Canela
4301,Ovalle
5101,Valparaíso
5103,Concón
5105,Puchuncaví
5107,Quintero
5109,Viña Del Mar
5301,Los Andes
5302,Calle Larga
5304,San Esteban
5402,Cabildo
5404,Petorca
5501,Quillota
5506,Nogales
5601,San Antonio
5602,Algarrobo
5604,El Quisco
5701,San Felipe
5702,Catemu
5703,Llaillay
5704,Panquehue
5706,Santa María
5801,Quilpué
5803,Olmué
5804,Villa Alemana
6101,Rancagua
6108,Machalí
6110,Mostazal
6117,San Vicente
6201,Pichilemu
6204,Marchihue
6303,Chimbarongo
6305,Nancagua
7101,Talca
7201,Cauquenes
7301,Curicó
7303,Licantén
7308,Teno
7401,Linares
7406,San Javier
8101,Concepción
8102,Coronel
8103,Chiguayante
8104,Florida
8105,Hualqui
8106,Lota
8107,Penco
8108,San Pedro De La Paz
8109,Santa Juana
8110,Talcahuano
8111,Tomé
8112,Hualpén
8201,Lebu
8202,Arauco
8203,Cañete
8204,Contulmo
8205,Curanilahue
8206,Los Álamos
8207,Tirúa
8301,Los Ángeles
8302,Antuco
8303,Cabrero
8304,Laja
8305,Mulchén
8306,Nacimiento
8307,Negrete
8309,Quilleco
8311,Santa Bárbara
8312,Tucapel
8313,Yumbel
8314,Alto Biobío
8401,Chillán
8403,Cobquecura
8404,Coelemu
8405,Coihueco
8409,Ñiquén
8410,Pemuco
8411,Pinto
8413,Quillón
8414,Quirihue
8415,Ránquil
8416,San Carlos
8419,San Nicolás
9101,Temuco
9102,Carahue
9108,Lautaro
9109,Loncoche
9111,Nueva Imperial
9112,Padre Las Casas
9201,Angol
9202,Collipulli
9207,Lumaco
9208,Purén
9210,Traiguén
9211,Victoria
10101,Puerto Montt
10102,Calbuco
10104,Fresia
10106,Los Muermos
10107,Llanquihue
10108,Maullin
10109,Puerto Varas
10201,Castro
10202,Ancud
10204,Curaco De Velez
10205,Dalcahue
10208,Quellon
10301,Osorno
10303,Purranque
10304,Puyehue
10305,Rio Negro
10306,San Juan De La Costa
10403,Hualaihue
10404,Palena
11101,Coyhaique
11201,Puerto Aysen
11202,Cisne
11203,Guaitecas
11401,Chile Chico
12101,Punta Arenas
12201,Cabo de Hornos (Ex - Navarino)
12301,Porvenir
12302,Primavera
12303,Timaukel
12401,Puerto Natales
13101,Santiago
13102,Cerrillos
13103,Cerro Navia
13104,Conchalí
13105,El Bosque
13106,Estacion Central
13107,Huechuraba
13108,Independencia
13109,La Cisterna
13110,La Florida
13111,La Granja
13112,La Pintana
13113,La Reina
13114,Las Condes
13115,Lo Barnechea
13116,Lo Espejo
13117,Lo Prado
13118,Macul
13119,Maipu
13120,Ñuñoa
13121,Pedro Aguirre Cerda
13122,Peñalolen
13123,Providencia
13124,Pudahuel
13125,Quilicura
13126,Quinta Normal
13127,Recoleta
13128,Renca
13129,San Joaquin
13130,San Miguel
13131,San Ramon
13132,Vitacura
13201,Puente Alto
13202,Pirque
13203,San Jose De Maipo
13301,Colina
13302,Lampa
13401,San Bernardo
13402,Buin
13403,Calera De Tango
13404,Paine
13501,Melipilla
13502,Alhué
13503,Curacavi
13504,Maria Pinto
13505,San Pedro
13601,Talagante
13603,Isla De Maipo
13604,Padre Hurtado
13605,Peñaflor
14101,Valdivia
14102,Corral
14103,Lanco
14104,Los Lagos
14105,MAFIL
14106,Mariquina
14108,Panguipulli
14201,La Union
14202,Futrono
14203,Lago Ranco
14204,Rio Bueno
15101,Arica
15102,Camarones
15201,Putre
99999,No Informado
