establecimiento,codigo,nombre,tiempo,mail_jefe_servicio
1,0,Sin Servicio Clinico,0,NULL
1,1,Cirugia Infantil,24,caehospitalarauco@gmail.com
1,2,Cirugía Menor,48,yes.rodriguez.d@gmail.com
1,3,Control Seriado Presión Arterial,24,
1,4,Dental APS,24,dental@gmail.com
1,5,Dirección,48,direccionhospitalarauco@gmail.com
1,6,Electroencefalograma,24,almagase@gmail.com
1,7,EMPA,24,
1,8,Endodoncia,24,dental@gmail.com
1,9,Entrega de Audifonos,24,danielaulloa86@gmail.com
1,10,Medicina Hombres,48,
1,11,Medicina Mujeres,48,
1,12,Neurología Adulto Aguayo,24,caehospitalarauco@gmail.com
1,13,Neurología Adulto Padilla,24,caehospitalarauco@gmail.com
1,14,Neurología Infantil,24,caehospitalarauco@gmail.com
1,15,Obstetricia,48,pradelia.campos@hospitaldearauco.cl
1,16,Odontopediatría,24,dental@gmail.com
1,17,Oftalmología Médico,24,caehospitalarauco@gmail.com
1,18,Oftalmología Tecnologo,24,caehospitalarauco@gmail.com
1,19,Otorrino Medico,24,caehospitalarauco@gmail.com
1,21,Otorrino Tecnologo,24,caehospitalarauco@gmail.com
1,22,Pabellón,48,yes.rodriguez.d@gmail.com
1,23,PAP,24,pradelia.campos@hospitaldearauco.cl
1,24,Pediatría,48,
1,25,Policlinico  Maternidad,24,pradelia.campos@hospitaldearauco.cl
1,26,Policlinico Adultos,24,poliadultohospital@gmail.com
1,27,Policlinico Pediatría,24,ainfantilarauco@gmail.com
1,28,Sala ERA,24,
1,29,Sala IRA,24,
1,30,Secretaria Some,48,anyela.chaparro.p@gmail.com
1,31,Teledermatología,24,
1,32,Unidad de Calidad,48,laura.fuentealba.fantuzzi@gmail.com
1,33,Unidad GES,48,augearauco@gmail.com
1,34,Urgencia,24,aleindrincova2004@gmail.com
1,35,Estadistica,24,estadisticaarauco@gmail.com
1,36,Neurologia Adulto Carval,24,caehospitalarauco@gmail.com
1,37,Pediatra,24,coordinacionhosparauco@gmail.com
1,38,Calidad,72,laura.fuentealba@gmail.com
1,39,Pabellón Maxilo,48,
1,40,Pabellón Otorrino,48,
1,41,Pabellón Oftalmologia ,48,
1,42,Pabellón Odontopediatra,48,
1,43,Pabellón Cirugía Menor ,48,
1,44,Medicina Interna ,24,
1,45,Archivo,72,informaticaharauco@gmail.com
1,46,CAE ESPECIALIDADES ,72,informaticaharauco@gmail.com
1,47,xxxx,72,informaticaharauco@gmail.com
1,48,Subdirección Medica ,24,sdmhospital.arauco@gmail.com
1,49,Cámara Hiperbárica,72,medicinahiperbarica.hsv@gmail.com
1,50,Neurologia Adulto Opazo ,72,informaticaharauco@gmail.com
1,51,PRE QUIRURGICO,72,informaticaharauco@gmail.com
1,52,OIRS,72,informaticaharauco@gmail.com
1,53,Neurologia Adulto ,48,informaticaharauco@gmail.com
2,0,Cx Menor,1,some@hospitaldecuranilahue
2,1,APS,24,NULL
2,2,Atencion domiciliaria,24,NULL
2,3,Calidad,24,NULL
2,4,Dialisis,24,&nbsp;
2,5,Cirugia Adulto,24,NULL
2,6,Cirugia Infantil,24,NULL
2,7,Cosam,24,NULL
2,8,Dental APS,24,NULL
2,9,Dental Especialidad,24,NULL
2,10,Direccion,24,NULL
2,11,Endoscopia,24,NULL
2,12,Farmacia,24,NULL
2,13,OTROS,24,&nbsp;
2,14,Ginecologia (poli),24,&nbsp;
2,15,GRD,24,NULL
2,16,Imagenologia,24,NULL
2,17,Kinesiologia,24,NULL
2,18,Laboratorio,24,NULL
2,19,Medicina Interna,24,NULL
2,20,Servicio Medico Quirurgico,24,&nbsp;
2,21,Pabellon,24,NULL
2,22,Pediatria (poli),24,&nbsp;
2,23,Servicio Gineco-Obstetra,24,NULL
2,24,Servicio Pediatria,24,NULL
2,25,SOME,24,NULL
2,26,Traumatologia ,24,NULL
2,27,UNACESS,24,NULL
2,28,Morbilidad Modulo K,24,
2,29,Sector Rojo,24,
2,30,Sector Verde,24,
2,31,Sector Amarillo,24,
2,32,Sector Azul,24,
2,33,Tabla Qx Central,1,some@hospitaldecuranilahue.cl
2,34,UPC,1,SOME@HOSPITALDECURANILAHUE.CL
2,35,HOSDOM,24,SOME@hospitaldecurabilahue.cl
2,36,Poli-Prequirurgico,24,archivo.some@hrav.cl
2,37,4 piso,24,archivo.some@hrav.cl
2,38,RECAUDACION,72,archivo.some@hrav.cl
2,39,PRE-PARTOS,48,archivo.some@hrav.cl
2,40,IAAS,100,archivo.some@hrav.cl
2,41,GES,72,archivo.some@gmail.com
2,42,Poli Gastroenterologia,100,archivo.some@hrav.cl
2,43,3 piso,72,archivo.some@hrav.cl
3,0,Sin Servicio Clinico,NULL,NULL
3,1,Corta Estadía Psiquiátrica,24,r.burgos.cortessi@gmail.com
3,2,Servicio Pediatría,24,eo.gonzalez.ortiz@gmail.com
3,3,Medico Quirúrgico,24,eo.gonzalez.ortiz@gmail.com
3,4,Pabellón,24,mamitota.vase@gmail.com
3,5,Sector Azul,24,Jacceb@gmail.com
3,6,Sector rojo,24,Kuayita2012@gmail.com
3,7,Sector amarillo,24,Ofabenja@yahoo.es
3,8,Sector verde,24,Ximena.san.mtn@gmail.com
3,9,Postrados,24,Johana.quidel@gmail.com
3,10,Kinesiología,24,patriciosototoledo@gmail.com
3,11,Ginecobtetricia,24,elicita-keyt@hotmail.com
3,12,SOME Pediatria,24,elizabethyovanap@gmail.com
3,13,SOME Traumatologia,24,polett.n@gmail.com
3,14,SOME Urologia-Med Familiar- CX Infantil,24,monicamillahual86@gmail.com
3,15,SOME Especialidad Dental,24,brigidaester09@gmail.com
3,16,SOME Oftalmologia,24,cristinaelizabethf@gmail.com
3,17,Oftalmologia UAPO,24,nataliechanqueo@gmail.com
3,18,SOME Admision,24,someadmisionkallvullanka@gmail.com
3,19,Departamento  de Calidad,24,lorecarvajal24@gmail.com
3,20,Hospitalización Domiciliaria,48,mvgomezneira@gmail.com
3,21,SOME PABELLÓN,24,some.pabellon@gmail.com
3,22,Secretaria SOME,24,secretaria.somecanete@gmail.com
3,23,UNIDAD GES,24,mcdcsanchez@hotmail.cl
3,24,Coordinación Enfermeria,3,andrea.sanhueza@hotmail.com
3,25,Departamento de Finanzas,3,mabelsanchez.ssarauco@gmail.com
3,26,Jefatura SOME,48,margarita.arriagada.perez@gmail.com
3,27,COSAM CAÑETE,48,
3,28,SOME Odontopediatria,24,celiapichumancontreras@gmail.com
3,29,SOME Ginecoobstetricia,24,gine.hospital@gmail.com
3,30,Operativo Dermatología,24,coordinacionhospitalcanete@gmail.com
3,31,Teleasistencia Nefrología,24,marielabastiasburgos@gmail.com
3,32,Espacio Amigable,48,camilafernandamunoz@gmail.com
3,33,Esterilización,24,clealsporman@gmail.com 
3,34,Subdirección Médica,72,francisca.faure@hospitalkallvullanka.cl
3,35,SMQ 4 PISO,24,ruben.leiva.hkll@gmail.com
3,36,SMQ 3 PISO,24,ruben.leiva.hkll@gmail.com
3,37,SMQ ZOCALO,24,ruben.leiva.hkll@gmail.com
3,38,IASS,2,enfermera.iaas@hospitalcanete.cl
3,39,CIRUGIA MENOR APS ,2,camilha.arce@gmail.com
3,40,CIRUGIA MENOR ESPECIALIDADES ,2,some.especialidades@hospitalcanete.cl 
